latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-15.82928,-46.06327,305.3,0.42,0.38,2021-01-01,0406,1,nominal,2.0NRT,293.1,0.9,N
-15.56786,-47.85609,309.3,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,290.1,1.9,N
-16.34856,-43.69489,305.1,0.38,0.36,2021-01-01,0406,1,nominal,2.0NRT,294,0.9,N
-16.6589,-42.23895,307.9,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,292.2,1.5,N
-16.66229,-42.23951,319.8,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,292.5,1.5,N
-17.31503,-41.57842,311,0.43,0.38,2021-01-01,0406,1,nominal,2.0NRT,290.6,0.9,N
-17.55848,-41.8954,306.8,0.42,0.38,2021-01-01,0406,1,nominal,2.0NRT,289.8,0.8,N
-17.61147,-42.55868,304.6,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,291.4,0.9,N
-18.04035,-39.92414,303.9,0.52,0.42,2021-01-01,0406,1,nominal,2.0NRT,293.7,1.2,N
-18.03866,-39.92593,304.9,0.52,0.42,2021-01-01,0406,1,nominal,2.0NRT,294.8,1.5,N
-17.25934,-47.29075,308.5,0.46,0.39,2021-01-01,0406,1,nominal,2.0NRT,290.2,0.9,N
-18.4562,-39.77937,305,0.54,0.42,2021-01-01,0406,1,nominal,2.0NRT,292.1,1.1,N
-18.46076,-39.77487,307.4,0.54,0.42,2021-01-01,0406,1,nominal,2.0NRT,292.4,1.1,N
-18.46464,-39.77544,313.9,0.54,0.42,2021-01-01,0406,1,nominal,2.0NRT,292.4,1.9,N
-18.47852,-39.81882,321.1,0.53,0.42,2021-01-01,0406,1,nominal,2.0NRT,292.6,2.4,N
-18.38038,-40.57251,304.4,0.49,0.4,2021-01-01,0406,1,nominal,2.0NRT,291.3,0.8,N
-18.47953,-39.81997,315.2,0.53,0.42,2021-01-01,0406,1,nominal,2.0NRT,292,1.5,N
-18.48019,-39.8149,307.5,0.53,0.42,2021-01-01,0406,1,nominal,2.0NRT,292.2,1.5,N
-16.34422,-53.15583,301.1,0.36,0.57,2021-01-01,0406,1,nominal,2.0NRT,285.2,0.5,N
-16.34949,-53.1567,299.7,0.36,0.57,2021-01-01,0406,1,nominal,2.0NRT,285.8,0.5,N
-17.00803,-49.78114,301,0.42,0.45,2021-01-01,0406,1,nominal,2.0NRT,283.6,1,N
-16.34393,-53.15683,300.7,0.36,0.57,2021-01-01,0406,1,nominal,2.0NRT,285.7,0.6,N
-16.34921,-53.15765,304.5,0.36,0.57,2021-01-01,0406,1,nominal,2.0NRT,285.9,0.6,N
-16.35448,-53.15851,299.9,0.36,0.57,2021-01-01,0406,1,nominal,2.0NRT,285.1,0.4,N
-17.79204,-45.89876,322.8,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,291.8,1.9,N
-17.7914,-45.9026,311.1,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,290,1.9,N
-17.79272,-45.89814,320.5,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,291.6,1.8,N
-17.79208,-45.90197,312.2,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,290.2,1.8,N
-18.93752,-40.37853,310.4,0.5,0.41,2021-01-01,0406,1,nominal,2.0NRT,291.9,1.1,N
-17.12185,-51.78764,329.1,0.56,0.52,2021-01-01,0406,1,nominal,2.0NRT,278.7,3.4,N
-18.88098,-41.95445,306.1,0.43,0.38,2021-01-01,0406,1,nominal,2.0NRT,294.2,1.2,N
-19.02613,-43.38618,301,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,287.7,0.9,N
-19.47897,-42.53089,328.8,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,294.2,2.6,N
-19.48182,-42.5354,321.6,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,294.3,1.5,N
-19.48067,-42.54327,307.5,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,293.4,1.7,N
-19.48124,-42.53935,305.6,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,294,1.5,N
-19.4824,-42.53146,306.9,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,294.6,1.5,N
-19.41844,-44.34099,304.3,0.38,0.36,2021-01-01,0406,1,nominal,2.0NRT,292.6,0.7,N
-19.5371,-44.07978,304.2,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,292.4,0.7,N
-19.52368,-44.2542,302.9,0.38,0.36,2021-01-01,0406,1,nominal,2.0NRT,291.1,0.6,N
-20.07699,-41.13097,315.3,0.48,0.4,2021-01-01,0406,1,nominal,2.0NRT,289.8,1.6,N
-20.23228,-40.23103,324,0.53,0.42,2021-01-01,0406,1,nominal,2.0NRT,299.7,3.7,N
-20.23025,-40.2463,315.9,0.53,0.42,2021-01-01,0406,1,nominal,2.0NRT,294.7,1.7,N
-20.23092,-40.24121,313.1,0.53,0.42,2021-01-01,0406,1,nominal,2.0NRT,294.9,1.5,N
